Line 1,0.25,0.375,0.375,0.0,0.0
Line 2,0.25,0.375,0.25,0.0,0.125
Line 3,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
Line 4,0.0,0.4,0.2,0.2,0.2
Line 5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666
Line 6,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857
Line 7,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285
Line 8,0.125,0.5,0.0,0.125,0.25
Mean,0.19122023809523808,0.29851190476190476,0.2519345238095238,0.09419642857142857,0.16413690476190476
StDev,0.1010344341334623,0.12678815948905212,0.10686793017419469,0.075718023408416782,0.081259129741729455
