close,neutral,open
0.14285714285714285,0.42857142857142855,0.42857142857142855
0.0,0.3333333333333333,0.6666666666666666
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.3333333333333333,0.0,0.6666666666666666
0.0,0.14285714285714285,0.8571428571428571
0.6666666666666666,0.16666666666666666,0.16666666666666666
0.0,0.14285714285714285,0.8571428571428571
0.16666666666666666,0.16666666666666666,0.6666666666666666
0.42857142857142855,0.14285714285714285,0.42857142857142855
0.6,0.0,0.4
0.14285714285714285,0.2857142857142857,0.5714285714285714
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.14285714285714285,0.2857142857142857,0.5714285714285714
0.0,0.3333333333333333,0.6666666666666666
0.7142857142857143,0.14285714285714285,0.14285714285714285
0.3333333333333333,0.16666666666666666,0.5
0.7142857142857143,0.14285714285714285,0.14285714285714285
0.3333333333333333,0.16666666666666666,0.5
0.42857142857142855,0.14285714285714285,0.42857142857142855
0.4,0.0,0.6
0.0,0.2857142857142857,0.7142857142857143
0.3333333333333333,0.0,0.6666666666666666
0.3333333333333333,0.0,0.6666666666666666
