pitch,diatonicNumber,beat,duration,IPA,vowelCategory
F#4,32,2.75,0.25,Iç,2
B4,35,1.0,0.75,'mœç,0
F#4,32,1.75,0.25,tə,1
D#4,30,2.0,0.25,'tsin,2
F#4,32,2.25,0.25,'tsin,2
B4,35,2.5,0.25,In,2
D#5,37,2.75,0.25,di,2
F#5,39,1.0,0.75,'vɛlt,0
E5,38,1.75,0.25,hI,2
C#5,36,2.0,0.75,'na:ʊs,0
F#4,32,2.75,0.25,hI,2
B4,35,1.0,0.5,'na:ʊs,0
C#5,36,1.5,0.25,In,2
C#5,36,1.75,0.25,di,2
D#5,37,2.0,0.25,'va:I,0
F#5,39,2.25,0.25,'va:I,0
E5,38,2.5,0.25,tə,1
D#5,37,2.75,0.25,tə,1
C#5,36,1.0,1.0,'vɛlt,0
C#5,36,2.5,0.5,vɛns,0
D#5,37,1.0,0.75,'nuʁ,2
D#5,37,1.75,0.25,zo,2
D#5,37,2.0,0.75,'gɾyn,2
C#5,36,2.75,0.25,so,2
C#5,36,1.0,0.75,'gɾyn,2
B4,35,1.75,0.25,nIçt,2
B4,35,2.0,0.75,'vɛʁ,0
B4,35,2.75,0.25,da,0
C#5,36,1.0,0.5,'dɾa:ʊ,0
D5,37,1.5,0.25,sən,1
D5,37,1.75,0.25,In,2
C#5,36,2.0,0.75,'valt,0
E#4,31,2.75,0.25,ʊnt,2
F#4,32,1.0,1.0,'fɛlt,0
F#4,32,2.75,0.25,Iç,2
B4,35,1.0,0.5,'mœç,0
F#4,32,1.5,0.25,tə,1
F#4,32,1.75,0.25,di,2
D#4,30,2.0,0.25,'gɾy,2
F#4,32,2.25,0.25,'gɾy,2
B4,35,2.5,0.25,nən,1
D#5,37,2.75,0.25,nən,1
F#5,39,1.0,0.75,'blɛ,0
E5,38,1.75,0.25,təʁ,1
C#5,36,2.0,1.0,'al,0
B4,35,1.0,0.5,'pflY,none
C#5,36,1.5,0.25,kən,1
C#5,36,1.75,0.25,fɔn,0
D#5,37,2.0,0.25,'je,2
F#5,39,2.25,0.25,'je,2
E5,38,2.5,0.25,dəm,1
D#5,37,2.75,0.25,dəm,1
C#5,36,1.0,1.0,'tsva:Ik,0
C#5,36,2.5,0.5,Iç,2
E5,38,1.0,0.5,'mœç,0
C#5,36,1.5,0.25,tə,1
C#5,36,1.75,0.25,di,2
B4,35,2.0,0.25,'gɾy,2
A#4,34,2.25,0.25,'gɾy,2
G#4,33,2.5,0.25,nən,1
F#4,32,2.75,0.25,nən,1
D5,37,1.0,0.75,'gɾɛ,0
C#5,36,1.75,0.25,zəʁ,1
B4,35,2.0,1.0,'al,0
D5,37,1.0,0.5,'va:I,0
B4,35,1.5,0.25,nən,1
B4,35,1.75,0.25,gants,0
C#5,36,2.0,0.5,'to,2
F#4,32,2.5,0.5,tən,1
F#5,39,1.0,0.5,'bla:Iç,0
G5,40,1.5,1.5,'bla:Iç,0
